Number,Tweets,Class
106,"Değirmenyolu mahallesi 6823. Sokak 4/2/3  Defne/Hatay  Hayattalar ama gıda, bataniye, ısıtıcı vs yardıma ihtiyaçları var",1.0
107,"🔴TEYİT🔴 Bu adrese acil kadın kıyafeti, iç çamaşırı, ped, su, gıda ve çadır ihtiyacı var.  Adres: Kürecik köyü, Daraca Mahallesi, Akçadağ/MALATYA İletişim: 0545 530 24 21 (Hivda) 0546 225 17 59 (Beritan)",1.0
108,"Diyarbakır'da bebek bezi, mama ve gıda ihtiyacı olan aileler şu numaralar ile iletişime geçsin: 05327275717 05326801242 📌Bizim market şubeleri tarafından adreslere en kısa sürede teslim edilecektir.",1.0
109,"Defne belediyesi Koçören mahallesi yukarı Koçören sk. Gül villaları  Çok fazla sayıda çadır lazım çoğu insan dışarda kalıyor   Islak mendil, ped, su, bebek bezi, temel gıda, iç çamaşırı, çorap, mont ya da kalın ceket vb   +90 (536) 594 53 94",1.0
110,"*TEYİTLİ BİLGİ* Az önce arkadışımla konuştum. Hatay Defne ilçesi , Dursunlu mahallesi acil çadır ve battaniye ihtiyaçları var özellikle çadır hava çok soğuk çocuklar soğuktan üstlerine poşet vb. ne bulsalar serecek duruma gelmişler.  İletişim Ahmet Uygun +905355488676",1.0
111,Elbistan cumhuriyet mahallesinde yakacak odun kömür ihtiyacı varmış. Acil bi şekilde ısıtıcı malzeme ihtiyacı var.,1.0
112,AKEVLER MAHALLESİ 4.AKEVLER SOKAK IRAZ APARTMANI ANTAKYA/ HATAY  AYAKLI IŞIK EL FENERLERİ KOVALAR TERMAL İÇLİK  ÇORAP  HAYDAR&MERVE&ADA MURSALOĞLU YARDIM BEKLİYOR!,1.0
113,"Defne belediyesi Koçören mahallesi yukarı Koçören sk. Gül villaları  Çok fazla sayıda çadır lazım çoğu insan dışarda kalıyor   Islak mendil, ped, su, bebek bezi, temel gıda, iç çamaşırı, çorap, mont ya da kalın ceket vb   +90 (536) 594 53 94",1.0
114,"Kahramanmaraş / Afşine ACİL gıda,ilaç,ısıtıcı,battaniye ve yatak ihtiyaçları var. Özellikle ısıtıcı ihtiyaçları var çünkü afşinde hava şuan çok soğuk. Bölgede afad çalışıyor fakat koordinasyon sorunu var ve yardımlar ulaşamıyor. LÜTFEN ACİL DESTEK 0539 204 4682 Eren Erkan",1.0
115,"Malatya hekimhan ilçesi girmana mahallesi akpinar küme evler, Yahyali küme evleri gokceler küme evleri / hiç yardım ulaşmadı. Yiyecek kuru gıda yakacak kömür  ve giyecek & battaniye tel: +90 530 200 04 89 Yücel bey",1.0
116,ACİL!  Asker arkadaşım kardeşim Emin Güngör ve ailesi depremde evlerini kaybetti.. Bulundukları köye acilen ÇADIR desteği verilmesi gerekiyor! Temel ihtiyaçları ne durumda bilmiyorum.. LÜTFEN DESTEK OLALIM ARKADAŞLAR ACİL!!!  Malatya Yeşilyurt bindal köyü Cep; +90 (544) 964 52 03,1.0
117,Malatya Akçadağ bölüklü köyünde insanlara soğukta ölecekler bütün köy halkı yaşlı ilaçları yok aç susuz ısınacak bişey yok yardım edin köyün bütün yolları kapalı kar ve fırtınadan dolayı lütfen yardımcı olun tel :053-504-92043 Hasan kiraz,1.0
118,"Beyoğlu mahallesi, şehit İsmail Orçan bulvarı no:32 Türkoğlu / Kahramanmaraş +905388623929  Tanju Ulu  Acil çadır desteğine ihtiyaç vardır. Yardımcı olun lütfen. Belirtilen adrese yardım gitmemiş. Güncel bilgidir. İletişim halindeyiz.",1.0
119,4 GÜNDÜR SU YOK Güneysöğüt mahallesi Defne ilçesi / Hatay adresine 500 kişilik çadır ve gıda yardımı gerekiyor. 4 gündür su dahi ulaşmamış.   Emre Kaplan Telefon: 0537 431 28 06,1.0
120,"KAHRAMANMARAŞ ‼️  30 kişi, bebekler var, komple hiçbir yardım gitmemiş her türlü gıda, kıyafet ihtyiacları mevcut   Türkoğlu uzunsöğüt mahallesi yeşilyöre yolu kayapınar mevki küme evleri  türkoğlu  Mehmet kelepir 0553 416 35 46",1.0
121,ÇOK ACİLLLL ÇOCUKLAR DONARAK ÖLMEK ÜZERE ÇADIR ERZAK GİYİSİ İHTİYACI VAR Kahramanmaraş merkez/Onikişubat dadağlı mah. merkez sok. No:415,1.0
122,"Kahramanmaraş /onikişubat /Döngel mahallesi/Döngel küme evler  05530136428 Abdullah Gök Çadır, yetişkin bezi, gıda ihtiyacı çok acil aynı zamanda battaniye ve ısıtıcı ihtiyacı var teyitli hiç yardım ulaşmamış insanlar açlık ve soğuktan neredeyse ölmek üzereler. Yardım acil",1.0
123,MUHTAR NUMARASI TEYİTLİ YAYALİM YENİ  Battaniye yetiskin bezi cadir Çocuk kiyafeti  Gida maddesi Su Çocuk bezi Ayakkabı Engelli birey(yürüme engelli) İlaç gerekiyor   Hatay/Altınözü/Oymaklı köyü Muhtar  Fadıl Balsever 05365093743 En doğru şekilde muhtarla iletişime geçebilirsiniz,1.0
124,#Hatay /Kirikhan Resatli Koyu   Hiç yardım gitmemiş   O bölgede olan lütfen arkadaşlarımız gıda su battaniye yardımı götürsün   Teyitli beni aradılar   +90 530 503 65 31,1.0
125,"KIRIKHAN/HATAY ‼️  4 kişilik aile, üç gündür gıda ulaşmamış. kanserin son evresinde yatağa bağımlı bir yaşlıları var.  Fatma Çamkerten: 0 554 127 49 13 (ulaşılmazsa abisinin numarası: 05533050121) Mimar Sinan Mh. Kızılay cd. Kumeevler No: 11",1.0
126,Hayrullah mah. 27.sok. hisar apt. Kat:5 no:14 Onikişubat/Kahramanmaraş İnce bir çocuk sesi geldi. Bölgeye TERMAL KAMERA VE SES DEDEKTÖRÜ LAZIM. İletişim +90 551 061 89 36 +90 507 499 94 36  ALLAH RIZASI İÇİN YARDIM EDİN ÖLÜME TERK ETMEYİN NOLUR çocuk sesi geliyor,1.0
127,Güncel teyitli:  7 kişi ısı alınmış Cebrail mah. 3203 sk. Kent apartmanı Antakya HATAY  İhtiyaçlar ekskavatör jenaratör kablo,1.0
128,"❗️❗️❗️ ACİL YARDIM ❗️❗️❗️ 📍 Türkoğlu/Kahramanmaraş  Şekeroba Mahallesi soğuk ve açlıkla mücadele ediyor. Yiyecek, kıyafet, çadır, battaniye, powerbank ihtiyaç.  Türkoğlu/Maraş  İletişim Ahmet Süt: 0538 620 69 69",1.0
129,Hatay Toprakhisar köyü ACİL Çocuk kıyafetleri  Battaniye Çadır Su  Yemek Hiçbir şeyleri yokmuş  Acil yardım gerekiyor  @BabalaTv   @PincTivi   @FratAlbayram,1.0
130,Teyitli Şanlıurfa eyyübiye ilçesi buhara mahallesinde bulunan camiye sıgınan arkadaslar ve aileler cocukları için ve kendileri için yiyecek ve ısınma yardımı istiyorlar teyitli bilgidir. İrtibat no 0543 414 88 34 Muhittin Akdemir  @ProfDemirtas    @ahbap    @AFADBaskanlik,1.0
131,❗️AMBULANS❗️ Cumhuriyet Mahallesi 302 Sokak Gökkuşağı Sitesi B Blok Hatay/Kırıkhan.  ❗️AMBULANS❗️ Yine Hatay/kırıkhanda lütfen paylaşalım,1.0
132,Kırıkhan için acil çadır lütfen yardım edin çadır yardımına çok ihtiyaçları var lütfen  @AFADBaskanlik   @OguzhanUgur   @haluklevent   @BabalaTv,1.0
133,-KAHRAMANMARAŞ- 0 543 368 86 96 Kahramanmaraş Çağlayancerit ilçesi helete (Düzdağ) köyü köy sağlam çok sayıda insan var insanların sığındığı bi köy hiç gıda yok su bitmek üzere acil yardım destek gerekli,1.0
134,"HATAY KIRIKHAN  az önce gönderdi yardım gönderilmemiş bebek maması, bezi, ısıtıcı gıda gerekiyormus",1.0
135,KAHRAMANMARAŞ orman bölge kavşağı imam hatip ortaokulu bahçesinde 9 aile derme çatma çadırlar içinde hayat mücadesi veriyoruz4 TANE BEBEĞİMİZ VAR 8 tane çocuğumuz var.  Lütfen çok acil çadır ısıtıcı battaniye kıyafet gıda gerekli!!!! Durdu Babur 0541 630 6872,1.0
136,ANKARA AHMET TANER KIŞLALI SPOR SALONU  öncelikli olarak gıda ihtiyacı varmış yardım götürebilecekler için sabaha kadar açık,1.0
137,TEYİTLİ BİLGİ ÇOK ACİL ‼️🚨‼️🚨  Defne belediyesi ÇÖKEK KÖYÜ Hatay/Antakya Dört gündür yardım gitmiyor. Çadır battaniye su bebek bezi gıda her türlü yardıma ihtiyaçları var  İletişim: 05339788608➡️Ertuğrul @AFADHatay   @AFADBaskanlik   @DepremDairesi   @Haydi_Ahbap  #deprem #ACİLYARDIM,1.0
138,"-HATAY  Çadir battaniye mont 12 ve 9 yasinda Çocuklarim var ayakkabi Çorap powerbang  jenarator kuru gida su Çocuklar iÇin süt islak mendil kadin pedi. yag kahvaltilik 37,36, 39, 40 numara botlar giyecek beden L. Adres, güzelburÇ Mahallesi,Istiklal cad. 14 no.25 .tel. 05058534697",1.0
139,Mesaj   HALA ÇADIR GİTMEDİ   Adıyaman cumhurıyet mahallesi 25107.sokak  Sığınacak yerimiz yok sokakta kalıyoruz çadırlar için millet savaş veriyor burada. #adıyaman   Lütfen duyuralım,1.0
140,🚨🚨TEYİTLİ🚨🚨  GÖKSUN ESENKÖY MAHALLESİ KÜME EVLERİ NO 108 KAHRAMANMARAŞ  SEZER SÖYLER: 0535 043 5912  🚨🚨 MAHALLENİN TAMAMI ERZAK SIKINTISI ÇEKİYOR ÇOK ACİL YARDIM GİTMESİ LAZIM 🚨🚨 @DepremDairesi @AFADBaskanlik @ahbap @haluklevent @ProfDemirtas @gutitoli @JrokezFTW #MARAS,1.0
141,"🚨 ÇOK ACİL‼️ YARDIM‼️ HATAY📍  500 kişilik çadır ve gıda yardımı gerekiyor. 4 gündür su dahi ulaşmamış.   Güneysöğüt Mahallesi, Defne/Hatay  İletişim: Emre Kaplan: 0537 431 28 06",1.0
142,Antakya Hatay Hüseyli köyü gıda su ihtiyacı var merkezden buraya yardım çok az geliyor burda 3 köy var acil destek gerekli  iletişim: 05312882789,1.0
143,"Teyitli:  Kahramanmaraş/Kırıkkilise Köyü'ne acil olarak çadır ve temel gıda, giyecek ihtiyacı var. Dağ köyü olması nedeniyle yardımlar çok kısıtlı kalmış, insanların acil olarak yardıma ihtiyacı var.  İletişim numarası: Eren Boyer - 05354623676",1.0
144,"Hatay-Kırıkhan/Ceylanlı Köyüne destek bekliyorlar. Acil olan ihtiyaç listesi; -Battaniye, ısıtıcı, jeneratör,su,çadır,bebek maması,bebek bezi,bakliyat,kuru gıda,ekmek,kışlık kıyafetler, konserve gıdaları Yayalım lütfen!",1.0
145,Diyarbakır/Kayapinar KENT MEYDANI  Çadır başına yalnızca 1 battaniye düşüyor. Çok acil gıda ve battaniye yardımına ihtiyaçları var lütfen duyurun!! tam adres: Mezopotamya mahallesi Kayapinar/Diyarbakır,1.0
146,YAYALIM! HİÇBİR AYNİ YARDIM ULAŞMAMIŞ.   acilen gıda ve ayni yardımlar buraya da yönlendirilebilir mi? Ve acil çadır ihtiyacı var.   Alsancak mahallesi.216 sokak ayasofya market no 26 Kırıkhan hatay. Hülya Kurt 0542 4070972,1.0
147,"Açık adres: Mehmet Hayri Özkeçeci Spor Kompleksi  (Selahattin eyyubi,sanayi nolu caddesi no:1 27080 şehitkamil/gaziantep)  İsim Soyisim: Mustafa METE  Kişi sayısı: 3 yetişkin, 4 çocuk  İhtiyaç listesi: Çadır, gıda, su, süt, battaniye, ısıtıcı  @BabalaTv    @haluklevent",1.0
148,"TEYİTLİ *Hatay:Kırıkhan* *Delibekirli mah. Tepe sokak 295 taksim 1* *15 kişiler kuru gıda,hijyen malzemesi,hijyenik ped 5 kadın için iç çamaşırı,çorap,battaniye, el feneri,pil,powerbank*  *Aşşağı yukarı 5 aile var* *Sadullah Kal +90 505 486 77 15* *Oğlu Ali Bura+90 543 498 50 65*",1.0
149,"Gaziantep Vatan mahallesi bölgesine hiç bir yardım gelmiyor. Aileler araç içinde perişan. Aracı olmayanlar sabaha kadar dışarılarda soğukla savaşıyor. Acill çadır , battaniye, gıda, bebek bezi ve bebek maması lazım.  Yer : Gaziantep Vatan Mahallesi Doğu Eczanesi Yanı.",1.0
150,"HASSA/AKBEZ bölgesine yardım gitmiyormuş arkadaşımdan haberini alıyorum. Gelen yardımlar da yağmalanmış. Çok az çadır olduğu için birçok insan dışarda kalmış, çocuklar sokakta kalıyormuş. Başta çadır olmak üzere gıda, çadır ve kıyafet yardımı gerekiyor. Lütfen destek olalım.",1.0
151,"🔴TEYİT🔴 200 kişilik depremzede grubu, bebek maması, bebek bezi, hasta bezi, ped, temizlik malzemeleri, ısıtıcı ve gıda yardımı bekliyor. Adres: Maraş Selçuklu mah. 58016 Sk. ali riza ve seher zeybek taziye evi ve civarı İletişim: Özlem Hanım: 0 (505) 544 80 89",1.0
152,"Arkadaşlar az önce Ayşe Duygu Sabır'la görüştüm Kırıkhan Ceylanli köyündelermis gıda yardımi gitmiş ama çadirlari hiç yokmuş dışarda kalıyorlarmiş arablara da evden kurtardiklari eşyaları koyuyorlarmis lütfen yayabildigimiz kadar yayalım Çadir , taşınabilir tuvalet, ısınmak için+",1.0
153,Kahramanmaraş/Türkoğlu  Hopurlu Mahallesi Işık Markete Isıtıcı Çadır ve gıda ihtiyacımız var. SEMANUR AKYOL : 05356937319 LÜTFEN BİLGİSİ OLANLAR YAZABİLİR Mİ YA DA YUKARDA Kİ NUMARAYA ULAŞSIN  ACİLLLL 🚨❗⚠️ #Kahramanmaraş #Türkoğlu,1.0
154,Kahramanmaraş/Türkoğlu  Hopurlu Mahallesi Işık Markete Isıtıcı Çadır ve gıda ihtiyacımız var. SEMANUR AKYOL : 05356937319 LÜTFEN BİLGİSİ OLANLAR YAZABİLİR Mİ YA DA YUKARDA Kİ NUMARAYA ULAŞSIN  ACİLLLL 🚨❗⚠️ #Kahramanmaraş #Türkoğlu,1.0
155,"KAHRAMANMARAS   MARAŞ 12şubat Piri Reis Mah. 17. sok.  11 çocuk 25 kişi su,gıda ve çadır yardımı bekliyor.  Güler Ak: 05067803764",1.0
156,"Kahramanmaraş/Elbistan hacı Hasanlı mahhalesi aşılık sokak no 20  0541 606 37 53 hasan boran  Bu adrestekiler hepsi yaşlı temel gıda ve battaniye lazım, çok zor durumdalar  +90 344 445 11 53 bulundukları yerin sabit telefonu",1.0
157,"LÜTFEN ACİL 🚨🚨🚨  Gaziantep Şahinbey'de BEBEKLİ bir aile için gıda, bebek maması ve bebek bezine ihtiyaç var. DIŞARIDALAR..  İLETİŞİM SEFA: 0552 613 80 78",1.0
158,Gelen Mesaj:  Adıyaman merkez Doğanlı köyü ve mezralarına çadır gıda yaşamsal malzeme ısınma soba bekliyoruz köy muhtarı Hasan Nergiz 05336316923,1.0
159,RTDEN EL AŞINMAZ DESTEK VERELİM  Gaziantep Şahinbey sirasogut mahallesi En çok gerekenler çocuk bezi ıslak mendil temel gıda malzemeleri çorap iç çamaşır battaniye çadır acilen lütfen Sinan Özdemir 0530 468 68 62,1.0
160,⚠️Adıyaman için Yeşilyurt mahallesi 2165.sokak No :63 kadın hijyen malzemesi  Yemek öncelik battaniye Hazır yemek tarzı gıda  el feneri aquamentin1000 ilaç  Bir de kefen istiyorlar Ölüler var diye  +90 (551) 212 40 09,1.0
161,ACİL YARDIM ÇAĞRISI🚨  Hatay Altınözü AKDARI KÖYÜ  Saadettin Zan ile görüştüm az önce Gıda yardım tırları yollamak için çabalayın sadece burada insanlar perişan. Bunu yaymaya çalışın dedi +90 535 373 52 46,1.0
162,ACİL YARDIM ÇAĞRISI🚨  Hatay Altınözü AKDARI KÖYÜ  Saadettin Zan ile görüştüm az önce Gıda yardım tırları yollamak için çabalayın sadece burada insanlar perişan. Bunu yaymaya çalışın dedi +90 535 373 52 46,1.0
163,"ERZAK LAZIM🚨  Temel Gıda, Bebek Bezi lazımmış.   Güneş evler mahallesi,Dulkadiroğlu ilçesi, kahramanmara. Muhtarlık binasındaymış. Sait Alcı-0541 141 16 96   Arkadaşlar lütfen.",1.0
164,Antakya Hatay Hüseyli köyü gıda su ihtiyacı var merkezden buraya yardım çok az geliyor burda üst üstte 3 köy var ben burdayım 05312882789 benim numaram irtibat kurabilirsiniz arkadaşlar dostlar Allah rızası için   @AFADBaskanlik   @DepremDairesi,1.0
165,Maraş göksün esen köy acil çadır ve gıda ihtiyaçları var teyitli dün kayseriye gelen bir depremzede bugün yardım için tekrar geri döndü hiç bir yardım ulaşmamış 0533 508 5259 benim numaram bana ulaşılırsa ben yardımcı olurum iletilmesi için iletişim için bütün köy aynı durumda,1.0
166,Teyitli bilgi Malatya Göztepe mah. Tutoğlu sok no 29 /1.  Epilepsi hastası çocuk var. İlacı bitmiş. İlacın adı frisum. Gıda ve giyim konusunda kötü durumdalar. Arkadaşlar yardım edebileceklere elden ele. Tanıyorum bu yardım istediğim kişileri gerçekten zor durumdalar. RT leyelim.,1.0
167,"Teyitli:  Kahramanmaraş/Kırıkkilise Köyü'ne acil olarak çadır ve temel gıda, giyecek ihtiyacı var. Dağ köyü olması nedeniyle yardımlar çok kısıtlı kalmış, insanların acil olarak yardıma ihtiyacı var.  İletişim numarası: Eren Boyer - 05354623676",1.0
168,Gelen Mesaj:  Adıyaman merkez Doğanlı köyü ve mezralarına çadır gıda yaşamsal malzeme ısınma soba bekliyoruz köy muhtarı Hasan Nergiz 05336316923,1.0
169,"Defne belediyesi Koçören mahallesi yukarı Koçören sk. Gül villaları  Çok fazla sayıda çadır lazım çoğu insan dışarda kalıyor   Islak mendil, ped, su, bebek bezi, temel gıda, iç çamaşırı, çorap, mont ya da kalın ceket vb   +90 (536) 594 53 94 1 17 3 177 ",1.0
170,"Malatya Doğanşehir Karaterzi köyü ve çevre köylerinde evler yıkılmış insanlar kar altında dışarda derme çatma yaşamaya çalışıyor. Öncelikli ihtiyaç jeneratör , temel gıda ve barınma ekipmanları  05373889473 Mahmut Çakır  0 (537) 890 39 38 Hasan Basri",1.0
171,"🔴TEYİT🔴 50 kişilik bir depremzede grubunun, gıda, yakacak ve su ihtiyacı var. Adres: karşıyaka eydibaba mahallesi  bademci sokak no/90 Şehitkamil/Gaziantep İletişim: GAMZE KARAYILAN : 05305444514 DİDEM KARAYILAN 05333117457",1.0
172,Kahramanmaraş Onikişubat demrek köyü ve etrafındaki bütün köyler için çadır ve gıda yardımı hala ulaşmamış zor durumdalar çadır olan bir yer bilen ulaşsın ! RT yapıp yayalım lütfen 🤲😥 @AFADBaskanlik   @DepremDairesi,1.0
173,"🚨ERZAK LAZIM🚨  Temel Gıda, Bebek Bezi lazımmış.   Güneş evler mahallesi,Dulkadiroğlu ilçesi, kahramanmara. Muhtarlık binasındaymış. Sait Alcı-0541 141 16 96   Arkadaşlar lütfen.",1.0
174,"Gıda, kıyafet ve çocuklar için soğuk algınlığı ilacına ihtiyaç varmış.  Adıyaman/Besni/Atmalı Köyü Züleyha Bozkurt 0545 357 9862",1.0
175,#hatay #deprem Çölyak hastaları glütensiz gıda - Şule Hanım 0539 953 53 41 - Kudret Özbakış 0532 337 01 63,1.0
176,"Ferdane Tombul 05426970606 toplanma yerindelermiş şu an evde olmadıklarından telefon bırakıldı Dulkadiroglu/Kahramanmaras, gıda - battaniye - powerbank yardımı lazım 10 kişilik aile",1.0
177,"ACİL YARDIM (TEYİTLİ‼️‼️)  Taşoluk köyü Göksun/Kahramanmaraş acil yardım gerekiyor. Kendi imkanlarıyla çadır kurmuşlar ama hava çok soğuk çadırlar yeterli değil. Gıda ve su ihtiyaçları var. Çok kötü durumdalar lütfen. Bebekler, küçük çocuklar varmış. Lütfen acil yardım!!!!",1.0
178,"200 kişilik depremzede grubu, bebek maması, bebek bezi, hasta bezi, ped, temizlik malzemeleri, ısıtıcı ve gıda yardımı bekliyor. Adres: Maraş Selçuklu mah. 58016 Sk. ali riza ve seher zeybek taziye evi ve civarı İletişim: Özlem Hanım: 0 (505) 544 80 89",1.0
179,"Hızlıca yayar mısınız lütfen   “Teyitli. Hatay Madenboyu köyü acil yardım malzemesi lazım. Su, gıda, kadın ve çocuk hijyen malzemeleri, battaniye.  HÜSEYİN OKUTAN 0538 773 99 79”",1.0
180,🚨 Yardım çağrısı:   Gaziantep Şahinbey sirasogut mahallesi En çok gerekenler çocuk bezi ıslak mendil temel gıda malzemeleri çorap iç çamaşır battaniye çadır acilen Sinan Özdemir 0530 468 68 62,1.0
181,TEYİTLİ  0 (542) 745 05 79   elektrik gıda su ped  ELMALAR KÖYÜ GÖKDAŞLAR MAHALLESİ MERKEZ KAHRAMANMARAŞ,1.0
182,"Teyitli:  Tavla Mahallesi, Sağlık Sokak, Defne Beldesi Sağlık Ocağı yanı, Defne/Hatay  Deprem sonrası araçta kalıyorlar. Gıda ve su ihtiyaçları var.  İletişim: 05365109603 (Necip Rende)",1.0
183,"Kahramanmaraş’ta terminalin 200 m ilerisinde tır parkında, 6 aylık bebeği ve 4 yaşındaki oğullarıyla beraber bir ailemiz var. Çocuklar üşüyorlar ve öksürüyorlarmış. Öncelikli ilaç ve 4 numara bebek bezi, mum/fener, gıda ihtiyaçları var. 0 (531) 687 23 02 Mehmet ali çetin kaya",1.0
184,"DM'DEN GELEN  Dilek Yakar +90 544 955 69 69 Gaziantep Nurdağı acil yardım gerekiyor 30 kişiye yakın bekliyorlar ilaç, kıyafet, çadır, battaniye gıda yardımı gerekli çok acil küçük çocuklar yaşlılar var soğukta dışarıdalar.",1.0
185,Doğanşehir söğüt 5 çadır ve gıda 0 545 273 15 27 Baki güneş Malatya  05384651641 Söğüt mah şehit er Hasan Kubat caddesi Doğanşehir Malatya 3 çadır ve gıda,1.0
186,"Teyitli!  #Samandağı ihtiyaç.   Yaşar Bey, 05057587714.   Malzemeler gelirse dağıtım yapabilirlermiş.   İhtiyaçlar : iç çamaşırı, kuru gıda, mum, geceleri çok karanlık diyor.   Varsa takviye çadır da lazım",1.0
187,Arkadaşlar Adıyaman Merkezde 3.5 yaşında Çölyak hastalığı olan bir çocuk için gıda lazım.  Bölgeye ulaştırabilecek olanlar lütfen benimle iletişime geçin.,1.0
188,"ÇOK ACİL ÇADIR LAZIM!!   25-30 kişi çoğunluk yaşlı ayrica engelli çocuk var soğuktan hasarlı eve girmek zorunda kalmışlar. Ayrıca temel gıda, powerbank ve odun ihtiyaçları var. Dulkadiroğlu doğukent Aslan bey mahallesi 7077 sok no 26 Maraş  Tel 05305720168 Osman alıç  RT LÜTFEN🙏🏻",1.0
189,"Kahramanmaraş Türkoğlu İlçesi HACIBEBEK KÖYÜ  Ölülerini kendileri enkazdan çıkarmış.  Henüz hiçbir yardım gitmemiş!  500'e yakın insan var, çocuk ve bebekler dahil.  Gıda ihtiyaçları var.  ACİL  @AFADBaskanlik   @ahbap",1.0
190,Çölyak hastaları glutensiz gıda : Şule Hanım 0539 953 53 41  Kudret Özbakış 0532 337 01 63  iletişime geçebilir  ‼️ HATAY ‼️ #hatayantakya #hatayacil  @melinastro   @kelbratz   @TarotLinera   @kalbimviran,1.0
191,"🚨⚠️ Arkadaşlar, MALATYA / POLATLI ilçesinde 1000 kişiye yakın vatandaşımızın gıda ve giysi ihtiyacı varmış.   🙏 Yakın olan dostlar ilgilenirseniz sevinirim.",1.0
192,"Murat arkadaşımın ailesi bu adresteler,gıda ve battaniye ihtiyaçları varmış arkadaşına iletebilir misin onlara ulaşırsa çok iyi olur  ❗️Siteler mahallesi kavi caddesi merve apartmanı no 18 merkez adıyaman❗️ İLETİŞİM 05302620246 HARUN DEMİR",1.0
193,"Bebekli bir aile var. Su dahi yokmuş. Acil gıda, su, kıyafet ihtiyacı varmış.  Karadurmuşlu Mah, Karadurmuşlu Sok, No: 112, Kırıkhan/Hatay   İletişim: 05052316747",1.0
194,Kahramanmaraş / Pazarcık Çocuk bezi - Mama - Gıda - Çocuk montu ihtiyacı var. İletişim ve detaylı konum bilgisi için  ; 0 542 211 93 65,1.0
195,"Teyitli:  Hatay/Kırıkhan, Camuzkışlası Köyü / Mecco Mah.  ACİL OLARAK çadır, gıda, battaniye, kıyafet, çamaşır ve bunun yanında bebek mamasıyla bebek bezi ihtiyacı var. İnsanlar soğuk sebebiyle çok zor durumda.  İletişim bilgisi:  Şükrü Kahraman - 0541 676 02 56",1.0
196,"HATAYDAN ARKADAŞIM YAZDI. TEYİTLİ  ""Hatay/Hassa ilçesinde köylerde çadır, gıda gibi sorunlar var. Geceleri burayı -'lerde gösteriyor. Özellikle dağ köyleri kötü durumdaymış.""  YÜKLENELİM",1.0
197,BİZZAT GÖRÜŞTÜM TEYİTLİ  Gaziantep Şahinbey sirasogut mahallesi En çok gerekenler çocuk bezi ıslak mendil temel gıda malzemeleri çorap iç çamaşır battaniye çadır acilen lütfen Sinan Özdemir 0530 468 68 62,1.0
198,"-ADIYAMAN   iç çamaşırı, ped, kıyafet ihtiyacı var. Adıyaman Erdemoğlu mahallesi fen lisesi   İLETİŞİM: HÜLYA ÇULCU 05374405286",1.0
199,"Adrese çadır, battaniye, bebek bezi ve ped yardımı lazım. Adres: Gözene Köyü, Doğanşehir/Malatya ve Yeşilyurt/Malatya İletişim: 0535 564 68 55(Levent Günay)",1.0
200,"Defne belediyesi Koçören mahallesi yukarı Koçören sk. Gül villaları  Çok fazla sayıda çadır lazım çoğu insan dışarda kalıyor   Islak mendil, ped, su, bebek bezi, temel gıda, iç çamaşırı, çorap, mont ya da kalın ceket vb   +90 (536) 594 53 94",1.0
201,"Adıyaman Yusuf'a Köyü Tokat köyu Hacıhalil köyü  Çadır, Biberon, Ped , Battaniye ,  Termal Battaniye gibi ihtiyaçları var lütfen yardım edin 0555 046 49 66 Şükrü Alıcı",1.0
202,"bu adreste erzaklar bitmiş ❗️❗️❗️❗️❗️❗️  osmaniye merkez karaçay mah. 6032. sk. no:1 mehmet güneş   biberon, bebek bezi, bebek maması, hijyenik ped kıyafet (özellikle bebekler icin)  odun-kömür *özellikle",1.0
203,"NILGUN DONER SAMANDAG KÜÇÜK KARAÇAY HUZURLU MAHALLESI-HATAY ARKADASIM HAMILE, KUCUK ÇOCUGU VAR, 30 KISI BIR SERADA KALIYOR, YARDIM GITMEMIS YERLERINDEN AYRILAMIYORLAR, YARDIM EDIN NE OLUR. Bez, ped, biberon, mama, eldiven, battaniye, ısıtıcı vs. NİLGÜN - 0538 383 37 05",1.0
204,"ADIYAMAN MERKEZ  Adı: Pınar İslamoğlu  Fatih mahallesi Sakarya Caddesi 2295 Sokak No 10  05434756552  Açlar, çocuk bezi, erzak, kadın kıyafeti, ped lazım  YARDIMCI OLABİLECEK KİMSE VAR MI?",1.0
205,"Güncel!! ‼️Diyarbakır Kent Düğün Salonu Battaniye, ilaç, ıslak mendil, peçete, kolonya, ped gibi malzemelere ihtiyaç var. çocuklar ve gençler hasta ve özellikle battaniye ve ilaç desteği lazım. LÜTFEN ACİL YARDIM GİTMESİ GEREKİYOR!! 📌İletişim numarası: 0552 938 4372 - Hülya Unsu",1.0
206,"Kayseri istikametinde bucak ilçesinde çağlayan köyü Kahramanmaraş Kıyafet,iç çamaşırı,ped,gıda lazım acil ÇADIRDA KALIYORLAR hiçbir şeyleri yok arkadaşlar 6 aile toplam 40 kişi kadınlar ve çocuklar var iletişim reyyan taşır:05376799713 #AhbapDernegi #AHBAP #OguzhanUgur #deprem",1.0
207,Ekinci mahallesi cengiz caddesi Antakya/Hatay   Yakıt  Çakmak  Ağrı kesici Hijyenik ped    Arkadaşımın yardım malzelerine ihtiyaçları var lütfen yardım edin 🙏🏻  İletişim numaraları :   Esin Bilgin    +90 552 995 69 90 +90 505 043 81 07  #deprem  #antakyadeprem,1.0
